organizationId,name,nationality,birthYear,archetype,role,squadOrder
organization.wt2026.alpecin,Mathieu van der Poel,NED,1995,classics,leader,1
organization.wt2026.alpecin,Jasper Philipsen,BEL,1998,sprinter,card,2
organization.wt2026.alpecin,Søren Wærenskjold,NOR,2000,diesel,support,3
organization.wt2026.alpecin,Quinten Hermans,BEL,1995,classics,support,4
organization.wt2026.alpecin,Kaden Groves,AUS,1998,sprinter,support,5
organization.wt2026.alpecin,Silvan Dillier,SUI,1990,diesel,support,6
organization.wt2026.alpecin,Jonas Rickaert,BEL,1994,classics,support,7
organization.wt2026.alpecin,Timo Kielich,BEL,1999,classics,support,8
organization.wt2026.alpecin,Florian Sénéchal,FRA,1993,classics,support,9
organization.wt2026.alpecin,Gerben Thijssen,BEL,1998,sprinter,support,10
organization.wt2026.alpecin,Oscar Riesebeek,NED,1996,diesel,support,11
organization.wt2026.alpecin,Michael Gogl,AUT,1993,diesel,support,12
organization.wt2026.alpecin,Edward Planckaert,BEL,1994,classics,support,13
organization.wt2026.alpecin,Tibor Del Grosso,NED,2000,neo,neo,14
organization.wt2026.alpecin,Jensen Plowright,AUS,2000,sprinter,neo,15
organization.wt2026.alpecin,Emiel Verstrynge,BEL,2002,neo,neo,16
organization.wt2026.alpecin,Gal Glivar,SLO,2001,gc,neo,17
organization.wt2026.alpecin,Johan Price-Pejtersen,DEN,1999,classics,support,18
organization.wt2026.alpecin,Simon Dehairs,BEL,2000,sprinter,neo,19
organization.wt2026.alpecin,Tobias Bayer,AUT,1999,classics,support,20
organization.wt2026.alpecin,Henri Uhlig,GER,2001,neo,neo,21
organization.wt2026.alpecin,Aaron Dockx,BEL,2003,neo,neo,22
organization.wt2026.bahrain,Santiago Buitrago,COL,1999,gc,leader,1
organization.wt2026.bahrain,Phil Bauhaus,GER,1994,sprinter,card,2
organization.wt2026.bahrain,Matej Mohorič,SLO,1994,classics,support,3
organization.wt2026.bahrain,Pello Bilbao,ESP,1990,gc,support,4
organization.wt2026.bahrain,Matevž Govekar,SLO,2000,sprinter,support,5
organization.wt2026.bahrain,Rainer Kepplinger,AUT,1997,gc,support,6
organization.wt2026.bahrain,Torstein Træen,NOR,1995,gc,support,7
organization.wt2026.bahrain,Fran Miholjević,CRO,2002,neo,neo,8
organization.wt2026.bahrain,Wout Poels,NED,1987,diesel,support,9
organization.wt2026.bahrain,Dylan Teuns,BEL,1992,classics,support,10
organization.wt2026.bahrain,Fred Wright,GBR,1999,sprinter,support,11
organization.wt2026.bahrain,Cameron Scott,GBR,1998,sprinter,support,12
organization.wt2026.bahrain,Finn Fisher-Black,NZL,2001,gc,neo,13
organization.wt2026.bahrain,Niklas Märki,SUI,1997,diesel,support,14
organization.wt2026.bahrain,Vladyslav Kuznetsov,UKR,2003,neo,neo,15
organization.wt2026.bahrain,Vladyslav Platon,UKR,2000,gc,neo,16
organization.wt2026.bahrain,Yevgeniy Fedorov,KAZ,2000,sprinter,neo,17
organization.wt2026.bahrain,Markus Hoelgaard,NOR,1994,diesel,support,18
organization.wt2026.bahrain,Jack Schultz,AUS,1999,gc,neo,19
organization.wt2026.bahrain,Camilo Ardila,COL,2001,gc,neo,20
organization.wt2026.bahrain,Lenny Martinez,FRA,2003,gc,neo,21
organization.wt2026.bahrain,Jack Haaland,NOR,2000,gc,neo,22
organization.wt2026.decathlon,Ben O'Connor,AUS,1995,gc,leader,1
organization.wt2026.decathlon,Bryan Coquard,FRA,1992,sprinter,card,2
organization.wt2026.decathlon,Paul Seixas,FRA,2006,neo,neo,3
organization.wt2026.decathlon,Bruno Armirail,FRA,1994,tt,support,4
organization.wt2026.decathlon,Sam Bennett,IRL,1990,sprinter,support,5
organization.wt2026.decathlon,Dries De Bondt,BEL,1991,classics,support,6
organization.wt2026.decathlon,Taco van der Hoorn,NED,1993,classics,support,7
organization.wt2026.decathlon,Georg Zimmermann,GER,1997,gc,support,8
organization.wt2026.decathlon,Amaury Capiot,BEL,1993,sprinter,support,9
organization.wt2026.decathlon,Valentin Ferron,FRA,1999,classics,support,10
organization.wt2026.decathlon,Alex Baudin,FRA,1996,gc,support,11
organization.wt2026.decathlon,Alan Hatherly,RSA,1996,classics,support,12
organization.wt2026.decathlon,Mattias Skjelmose,DEN,2000,gc,neo,13
organization.wt2026.decathlon,Ewen Costiou,FRA,2002,neo,neo,14
organization.wt2026.decathlon,Rémy Rochas,FRA,1996,gc,support,15
organization.wt2026.decathlon,Valentin Paret-Peintre,FRA,2000,gc,neo,16
organization.wt2026.decathlon,Louis Vervaeke,BEL,1993,gc,support,17
organization.wt2026.decathlon,Bastien Tronchon,FRA,2001,neo,neo,18
organization.wt2026.decathlon,Donavan Grondin,FRA,2001,sprinter,neo,19
organization.wt2026.decathlon,Fabien Doubey,FRA,1993,diesel,support,20
organization.wt2026.decathlon,Jordan Jegat,FRA,1999,gc,support,21
organization.wt2026.decathlon,Pavel Bittner,CZE,2000,sprinter,neo,22
organization.wt2026.ef,Richard Carapaz,ECU,1993,gc,leader,1
